bananapim5/Kinetic_edge_xfce_nightly|https://github.com/armbian/community/releases/download/202244/Armbian_22.11.0-trunk_Bananapim5_kinetic_edge_6.0.6_xfce_desktop.img.xz|1667136881|1397M|
bananapim5/Sid_edge_nightly|https://github.com/armbian/community/releases/download/202244/Armbian_22.11.0-trunk_Bananapim5_sid_edge_6.0.6.img.xz|1667134262|455M|
bananapim5/Sid_edge_xfce_nightly|https://github.com/armbian/community/releases/download/202244/Armbian_22.11.0-trunk_Bananapim5_sid_edge_6.0.6_xfce_desktop.img.xz|1667135899|1162M|
bananapim64/Kinetic_edge_nightly|https://github.com/armbian/community/releases/download/202244/Armbian_22.11.0-trunk_Bananapim64_kinetic_edge_6.0.6.img.xz|1667134772|354M|
bananapim64/Kinetic_edge_xfce_nightly|https://github.com/armbian/community/releases/download/202244/Armbian_22.11.0-trunk_Bananapim64_kinetic_edge_6.0.6_xfce_desktop.img.xz|1667136587|1377M|
bananapim64/Sid_edge_nightly|https://github.com/armbian/community/releases/download/202244/Armbian_22.11.0-trunk_Bananapim64_sid_edge_6.0.6.img.xz|1667135039|418M|
bananapim64/Sid_edge_xfce_nightly|https://github.com/armbian/community/releases/download/202244/Armbian_22.11.0-trunk_Bananapim64_sid_edge_6.0.6_xfce_desktop.img.xz|1667136267|1125M|
bananapipro/Kinetic_edge_nightly|https://github.com/armbian/community/releases/download/202244/Armbian_22.11.0-trunk_Bananapipro_kinetic_edge_6.0.6.img.xz|1667135209|329M|
bananapipro/Kinetic_edge_xfce_nightly|https://github.com/armbian/community/releases/download/202244/Armbian_22.11.0-trunk_Bananapipro_kinetic_edge_6.0.6_xfce_desktop.img.xz|1667136802|1212M|
bananapipro/Sid_edge_nightly|https://github.com/armbian/community/releases/download/202244/Armbian_22.11.0-trunk_Bananapipro_sid_edge_6.0.6.img.xz|1667135502|388M|
bananapipro/Sid_edge_xfce_nightly|https://github.com/armbian/community/releases/download/202244/Armbian_22.11.0-trunk_Bananapipro_sid_edge_6.0.6_xfce_desktop.img.xz|1667137871|1035M|
bananapir2pro/Kinetic_edge_nightly|https://github.com/armbian/community/releases/download/202244/Armbian_22.11.0-trunk_Bananapir2pro_kinetic_edge_6.0.6.img.xz|1667135643|402M|
bananapir2pro/Kinetic_edge_xfce_nightly|https://github.com/armbian/community/releases/download/202244/Armbian_22.11.0-trunk_Bananapir2pro_kinetic_edge_6.0.6_xfce_desktop.img.xz|1667137583|1413M|
bananapir2pro/Sid_edge_nightly|https://github.com/armbian/community/releases/download/202244/Armbian_22.11.0-trunk_Bananapir2pro_sid_edge_6.0.6.img.xz|1667136282|472M|
bananapir2pro/Sid_edge_xfce_nightly|https://github.com/armbian/community/releases/download/202244/Armbian_22.11.0-trunk_Bananapir2pro_sid_edge_6.0.6_xfce_desktop.img.xz|1667140107|1172M|
beelinkx2/Kinetic_edge_nightly|https://github.com/armbian/community/releases/download/202244/Armbian_22.11.0-trunk_Beelinkx2_kinetic_edge_6.0.6.img.xz|1667135680|328M|
beelinkx2/Kinetic_edge_xfce_nightly|https://github.com/armbian/community/releases/download/202244/Armbian_22.11.0-trunk_Beelinkx2_kinetic_edge_6.0.6_xfce_desktop.img.xz|1667137667|1222M|
beelinkx2/Sid_edge_nightly|https://github.com/armbian/community/releases/download/202244/Armbian_22.11.0-trunk_Beelinkx2_sid_edge_6.0.6.img.xz|1667135748|386M|
beelinkx2/Sid_edge_xfce_nightly|https://github.com/armbian/community/releases/download/202244/Armbian_22.11.0-trunk_Beelinkx2_sid_edge_6.0.6_xfce_desktop.img.xz|1667137177|1038M|
clearfogbase/Kinetic_edge_nightly|https://github.com/armbian/community/releases/download/202244/Armbian_22.11.0-trunk_Clearfogbase_kinetic_edge_5.17.15.img.xz|1667135805|314M|
clearfogbase/Sid_edge_nightly|https://github.com/armbian/community/releases/download/202244/Armbian_22.11.0-trunk_Clearfogbase_sid_edge_5.17.15.img.xz|1667135918|363M|
clearfogpro/Kinetic_edge_nightly|https://github.com/armbian/community/releases/download/202244/Armbian_22.11.0-trunk_Clearfogpro_kinetic_edge_5.17.15.img.xz|1667136010|314M|
clearfogpro/Sid_edge_nightly|https://github.com/armbian/community/releases/download/202244/Armbian_22.11.0-trunk_Clearfogpro_sid_edge_5.17.15.img.xz|1667136099|364M|
clockworkpi-a06/Kinetic_edge_nightly|https://github.com/armbian/community/releases/download/202244/Armbian_22.11.0-trunk_Clockworkpi-a06_kinetic_edge_6.0.6.img.xz|1667136071|397M|
clockworkpi-a06/Kinetic_edge_xfce_nightly|https://github.com/armbian/community/releases/download/202244/Armbian_22.11.0-trunk_Clockworkpi-a06_kinetic_edge_6.0.6_xfce_desktop.img.xz|1667138048|1410M|
clockworkpi-a06/Sid_edge_nightly|https://github.com/armbian/community/releases/download/202244/Armbian_22.11.0-trunk_Clockworkpi-a06_sid_edge_6.0.6.img.xz|1667136411|467M|
clockworkpi-a06/Sid_edge_xfce_nightly|https://github.com/armbian/community/releases/download/202244/Armbian_22.11.0-trunk_Clockworkpi-a06_sid_edge_6.0.6_xfce_desktop.img.xz|1667137660|1162M|
cubieboard2/Kinetic_edge_nightly|https://github.com/armbian/community/releases/download/202244/Armbian_22.11.0-trunk_Cubieboard2_kinetic_edge_6.0.6.img.xz|1667136324|328M|
cubieboard2/Kinetic_edge_xfce_nightly|https://github.com/armbian/community/releases/download/202244/Armbian_22.11.0-trunk_Cubieboard2_kinetic_edge_6.0.6_xfce_desktop.img.xz|1667138226|1217M|
cubieboard2/Sid_edge_nightly|https://github.com/armbian/community/releases/download/202244/Armbian_22.11.0-trunk_Cubieboard2_sid_edge_6.0.6.img.xz|1667136424|386M|
cubieboard2/Sid_edge_xfce_nightly|https://github.com/armbian/community/releases/download/202244/Armbian_22.11.0-trunk_Cubieboard2_sid_edge_6.0.6_xfce_desktop.img.xz|1667140808|1038M|
cubieboard4/Kinetic_edge_nightly|https://github.com/armbian/community/releases/download/202244/Armbian_22.11.0-trunk_Cubieboard4_kinetic_edge_6.0.6.img.xz|1667136493|326M|
cubieboard4/Sid_edge_nightly|https://github.com/armbian/community/releases/download/202244/Armbian_22.11.0-trunk_Cubieboard4_sid_edge_6.0.6.img.xz|1667136622|390M|
cubieboard4/Sid_edge_xfce_nightly|https://github.com/armbian/community/releases/download/202244/Armbian_22.11.0-trunk_Cubieboard4_sid_edge_6.0.6_xfce_desktop.img.xz|1667140145|1046M|
cubieboard/Kinetic_edge_nightly|https://github.com/armbian/community/releases/download/202244/Armbian_22.11.0-trunk_Cubieboard_kinetic_edge_6.0.6.img.xz|1667136184|328M|
cubieboard/Sid_edge_nightly|https://github.com/armbian/community/releases/download/202244/Armbian_22.11.0-trunk_Cubieboard_sid_edge_6.0.6.img.xz|1667136353|377M|
cubietruck/Kinetic_edge_nightly|https://github.com/armbian/community/releases/download/202244/Armbian_22.11.0-trunk_Cubietruck_kinetic_edge_6.0.6.img.xz|1667136791|326M|
cubietruck/Kinetic_edge_xfce_nightly|https://github.com/armbian/community/releases/download/202244/Armbian_22.11.0-trunk_Cubietruck_kinetic_edge_6.0.6_xfce_desktop.img.xz|1667140220|1224M|
cubietruck/Sid_edge_nightly|https://github.com/armbian/community/releases/download/202244/Armbian_22.11.0-trunk_Cubietruck_sid_edge_6.0.6.img.xz|1667138136|390M|
cubietruck/Sid_edge_xfce_nightly|https://github.com/armbian/community/releases/download/202244/Armbian_22.11.0-trunk_Cubietruck_sid_edge_6.0.6_xfce_desktop.img.xz|1667139809|1043M|
cubietruckplus/Kinetic_edge_nightly|https://github.com/armbian/community/releases/download/202244/Armbian_22.11.0-trunk_Cubietruckplus_kinetic_edge_6.0.6.img.xz|1667136873|326M|
cubietruckplus/Kinetic_edge_xfce_nightly|https://github.com/armbian/community/releases/download/202244/Armbian_22.11.0-trunk_Cubietruckplus_kinetic_edge_6.0.6_xfce_desktop.img.xz|1667140619|1214M|
cubietruckplus/Sid_edge_nightly|https://github.com/armbian/community/releases/download/202244/Armbian_22.11.0-trunk_Cubietruckplus_sid_edge_6.0.6.img.xz|1667138384|389M|
cubietruckplus/Sid_edge_xfce_nightly|https://github.com/armbian/community/releases/download/202244/Armbian_22.11.0-trunk_Cubietruckplus_sid_edge_6.0.6_xfce_desktop.img.xz|1667140017|1036M|
cubox-i/Kinetic_edge_nightly|https://github.com/armbian/community/releases/download/202244/Armbian_22.11.0-trunk_Cubox-i_kinetic_edge_6.0.6.img.xz|1667137136|381M|
cubox-i/Kinetic_edge_xfce_nightly|https://github.com/armbian/community/releases/download/202244/Armbian_22.11.0-trunk_Cubox-i_kinetic_edge_6.0.6_xfce_desktop.img.xz|1667139529|1274M|
cubox-i/Sid_edge_nightly|https://github.com/armbian/community/releases/download/202244/Armbian_22.11.0-trunk_Cubox-i_sid_edge_6.0.6.img.xz|1667137503|434M|
cubox-i/Sid_edge_xfce_nightly|https://github.com/armbian/community/releases/download/202244/Armbian_22.11.0-trunk_Cubox-i_sid_edge_6.0.6_xfce_desktop.img.xz|1667140853|1091M|
espressobin/Kinetic_edge_nightly|https://github.com/armbian/community/releases/download/202244/Armbian_22.11.0-trunk_Espressobin_kinetic_edge_6.0.5.img.xz|1667137374|392M|
espressobin/Sid_edge_nightly|https://github.com/armbian/community/releases/download/202244/Armbian_22.11.0-trunk_Espressobin_sid_edge_6.0.5.img.xz|1667137223|440M|
firefly-rk3399/Kinetic_edge_nightly|https://github.com/armbian/community/releases/download/202244/Armbian_22.11.0-trunk_Firefly-rk3399_kinetic_edge_6.0.6.img.xz|1667137421|401M|
firefly-rk3399/Kinetic_edge_xfce_nightly|https://github.com/armbian/community/releases/download/202244/Armbian_22.11.0-trunk_Firefly-rk3399_kinetic_edge_6.0.6_xfce_desktop.img.xz|1667139691|1407M|
firefly-rk3399/Sid_edge_nightly|https://github.com/armbian/community/releases/download/202244/Armbian_22.11.0-trunk_Firefly-rk3399_sid_edge_6.0.6.img.xz|1667137351|468M|
firefly-rk3399/Sid_edge_xfce_nightly|https://github.com/armbian/community/releases/download/202244/Armbian_22.11.0-trunk_Firefly-rk3399_sid_edge_6.0.6_xfce_desktop.img.xz|1667139565|1177M|
helios4/Kinetic_edge_nightly|https://github.com/armbian/community/releases/download/202244/Armbian_22.11.0-trunk_Helios4_kinetic_edge_5.17.15.img.xz|1667137106|316M|
helios4/Sid_edge_nightly|https://github.com/armbian/community/releases/download/202244/Armbian_22.11.0-trunk_Helios4_sid_edge_5.17.15.img.xz|1667137274|364M|
jethubj100/Kinetic_edge_nightly|https://github.com/armbian/community/releases/download/202244/Armbian_22.11.0-trunk_Jethubj100_kinetic_edge_6.0.6.img.xz|1667137817|403M|
jethubj100/Sid_edge_nightly|https://github.com/armbian/community/releases/download/202244/Armbian_22.11.0-trunk_Jethubj100_sid_edge_6.0.6.img.xz|1667138009|467M|
jethubj80/Kinetic_edge_nightly|https://github.com/armbian/community/releases/download/202244/Armbian_22.11.0-trunk_Jethubj80_kinetic_edge_6.0.6.img.xz|1667138031|403M|
jethubj80/Sid_edge_nightly|https://github.com/armbian/community/releases/download/202244/Armbian_22.11.0-trunk_Jethubj80_sid_edge_6.0.6.img.xz|1667138161|466M|
jetson-nano/Kinetic_edge_nightly|https://github.com/armbian/community/releases/download/202244/Armbian_22.11.0-trunk_Jetson-nano_kinetic_edge_6.0.6.img.xz|1667138085|408M|
jetson-nano/Sid_edge_nightly|https://github.com/armbian/community/releases/download/202244/Armbian_22.11.0-trunk_Jetson-nano_sid_edge_6.0.6.img.xz|1667138206|473M|
khadas-edge/Kinetic_edge_nightly|https://github.com/armbian/community/releases/download/202244/Armbian_22.11.0-trunk_Khadas-edge_kinetic_edge_6.0.6.img.xz|1667138146|398M|
khadas-edge/Sid_edge_nightly|https://github.com/armbian/community/releases/download/202244/Armbian_22.11.0-trunk_Khadas-edge_sid_edge_6.0.6.img.xz|1667138277|461M|
khadas-vim1/Kinetic_edge_nightly|https://github.com/armbian/community/releases/download/202244/Armbian_22.11.0-trunk_Khadas-vim1_kinetic_edge_6.0.6.img.xz|1667138427|393M|
